train_auc,val_auc,learning_rate,batch_size,num_epochs,regularization_lambda
0.8277399177476485,0.8483261296671103,0.25,4096,50,0
0.8232321972788577,0.8413514486037358,0.75,8192,50,0.1
0.8230382148545529,0.8411011446182476,0.25,2048,50,0.1
0.8031834459878867,0.8206045963109064,1.0,2048,50,1
0.8204428272198758,0.8377946296689277,1.0,1024,50,1
0.8270354445826763,0.8458827825247697,1.0,1024,50,0.01
0.8235914070857469,0.8424444403437741,0.1,2048,50,0.1
0.8231206933075534,0.841211163739487,0.25,2048,100,0.1
0.832484892667813,0.8508458750937679,0.25,1024,200,0
0.8228286377647646,0.840792196387067,0.25,1024,200,0.1
0.8212132163733422,0.8392406052477583,0.25,2048,50,1
0.8274590996616402,0.8472202767337378,0.5,8192,100,0.01
0.8311725360613431,0.8509582707398626,1.0,2048,100,0.001
0.8280447702137663,0.8472945780843588,1.0,1024,200,0.01
0.8325373947082736,0.8499129492925085,0.5,1024,500,0
0.8229350872049256,0.8412616998415557,1.0,4096,500,0.1
0.8308698178245125,0.8504739489539236,1.0,2048,500,0.001
0.832680134498707,0.850189954233723,0.75,2048,500,0
0.8310259588843898,0.8507379529062242,0.25,1024,200,0.001
0.8277327163086285,0.8466782193733747,0.5,1024,200,0.01
0.8308697206219905,0.8508941045687712,1.0,8192,50,0
0.8277117036590937,0.8466756331551499,0.75,8192,500,0.01
0.8276451452887152,0.8466272638845669,0.1,1024,500,0.01
0.8231530279378009,0.841333834360691,0.5,4096,50,0.1
0.827946118106347,0.8471802253001481,0.5,8192,200,0.01
0.8310239345362146,0.8507622074393056,1.0,8192,500,0.001
0.8233428982728062,0.8417699965694165,0.25,8192,100,0.1
0.8222647912919219,0.8407328531634761,0.25,1024,500,1
0.8227815748393386,0.8408567819448975,0.5,2048,200,0.1
0.8322283202717444,0.8514962041306238,0.75,2048,50,0
0.8274238785391095,0.8461366512975406,0.75,1024,100,0.01
0.8259291615490068,0.8466148220779719,0.1,4096,100,0
0.822775252449213,0.8409359062430188,1.0,8192,100,0.1
0.8309877625194471,0.8506988800416927,0.75,8192,200,0.001
0.8205480595154138,0.8389673048894064,0.1,1024,200,1
0.8229034794804948,0.8410000724141102,1.0,8192,50,0.1
0.8325122530646529,0.8500463142755612,0.75,1024,200,0
0.8066462308929689,0.820935003163574,1.0,4096,200,1
0.8277316597594766,0.8467532197018943,0.5,2048,200,0.01
0.8226018558285855,0.8405894927964735,0.75,8192,100,0.1
0.8304638240211732,0.8504928912549756,0.75,8192,100,0.001
0.8297094732838339,0.849944123706786,0.25,4096,100,0.001
0.8188360145909437,0.8400881858475988,0.1,8192,100,0.001
0.8231825817306803,0.8412634472863022,0.5,8192,100,0.1
0.8310266012662741,0.8507840854475318,0.1,1024,200,0.001
0.8299901096433882,0.8500772090986792,1.0,8192,50,0.001
0.830975764347277,0.8506896535334312,1.0,2048,50,0.001
0.8210178012683873,0.8392306098638083,0.1,2048,200,1
0.8308462356474402,0.8504950580864613,0.75,1024,500,0.001
0.8194643359192373,0.8406635145559352,0.1,8192,100,0
0.8325151902712955,0.8507968767430761,0.75,8192,500,0
0.8276314819950817,0.8467566446935975,0.75,1024,50,0.01
0.8280069668851082,0.8472398481148986,0.5,2048,50,0.01
0.8233364195134063,0.8415489098600897,0.5,4096,100,0.1
0.820625897604539,0.8386833800669955,0.1,1024,100,1
0.8307337385199332,0.8506584092213638,0.1,4096,500,0.001
0.8210477607761408,0.8392687740570719,0.25,4096,50,1
0.8321356482325254,0.8513652156724265,0.75,8192,200,0
0.8288623786619332,0.8492183050568815,0.1,2048,100,0.001
0.8213302186264333,0.8393979451727328,0.1,4096,500,1
0.8310695225190246,0.8507940808314818,0.75,8192,500,0.001
0.8226055537506174,0.8407852066080812,1.0,1024,500,0.1
0.8309281858258649,0.8505423089924065,0.75,1024,50,0.001
0.8277627223045451,0.8468134715967535,0.1,1024,200,0.01
0.8311266945067368,0.8508769796102555,0.75,2048,100,0.001
0.8210137906078063,0.8392947061371098,0.25,8192,100,1
0.8324753879516418,0.8508017695883663,1.0,2048,100,0
0.8277270489789774,0.8467252605859503,0.1,2048,500,0.01
0.8213102963356234,0.8402348314107247,1.0,4096,500,1
0.8318964328259256,0.8515361856664236,0.5,4096,100,0
0.8208005916675251,0.8393229448442132,0.5,2048,500,1
0.8211541383709596,0.8391398825325702,0.1,2048,500,1
0.8213482602597525,0.8392302603748589,0.25,2048,200,1
0.8229025285862579,0.8409456220358094,0.5,4096,200,0.1
0.8221123185707003,0.8400510002233934,0.75,1024,200,0.1
0.8086460333182774,0.8301737435382989,0.1,8192,50,0.01
0.8230703635321495,0.8412514248664462,1.0,4096,100,0.1
0.8276383115288002,0.8466124455531168,0.25,2048,200,0.01
0.8305856399122009,0.8505858553154892,1.0,4096,50,0.001
0.8254818862572011,0.84611701001859,0.1,8192,200,0.001
0.8177349086481189,0.8356491170091798,0.5,1024,50,1
0.8307150249213531,0.8506222720640062,0.5,2048,50,0.001
0.8180457031466676,0.8350808479776193,0.75,1024,50,1
0.8325653425464419,0.8504026532082666,1.0,1024,100,0
0.8323799942418071,0.8510903775626977,0.5,8192,500,0
0.8323058963366801,0.8508465041738766,0.75,2048,100,0
0.8316046393073264,0.8513982074292403,0.1,1024,100,0
0.8219773549820255,0.8423833496754367,0.1,4096,100,0.01
0.8231807010731897,0.8414617473161347,0.25,1024,50,0.1
0.8193398490719537,0.8371908525601184,0.25,1024,50,1
0.8309497943691213,0.850603958843063,0.75,2048,200,0.001
0.827684579929264,0.8466836714009837,0.5,8192,500,0.01
0.8310892884405598,0.8508245562678606,0.25,2048,200,0.001
0.8238346247005344,0.8439408821268835,0.25,4096,50,0.01
0.8228936747043644,0.8409296154419315,0.25,2048,500,0.1
0.8231131664513949,0.841242058562605,0.25,8192,200,0.1
0.8280164673750829,0.8473132407942513,0.25,4096,200,0.01
0.8323235449337147,0.8513044045952485,0.25,1024,100,0
0.8270536383590735,0.8475871702327121,0.5,8192,50,0.001
0.8310169148236488,0.85076996609398,0.75,4096,500,0.001
0.8214179122060482,0.8394819623161444,0.25,4096,200,1
0.8322141540607146,0.8510294965877296,1.0,8192,200,0
0.8189361754505522,0.8401756978805033,0.1,4096,50,0
0.8325534669339736,0.8509140953366712,1.0,4096,200,0
0.8269436473661549,0.847507416854482,0.25,8192,100,0.001
0.8279587966961709,0.8470977459081135,0.75,8192,200,0.01
0.8230534756505041,0.8412078086455737,0.75,4096,50,0.1
0.8318630205155431,0.8514615348268533,0.25,2048,100,0
0.8218512790848171,0.8396864832492743,0.5,2048,200,1
0.827750897406436,0.8467416865665675,0.5,2048,100,0.01
0.8221700315115785,0.8411863500240868,0.75,8192,200,1
0.832508660797536,0.8506326868346954,0.5,4096,500,0
0.8308556304824996,0.8509698038751894,0.25,8192,200,0
